Year-Month,average-temperature,quality,no,seq,YM
1990/1,4.1,8,1,1284,1990-01-01
1990/2,8.4,8,1,1285,1990-02-01
1990/3,9.5,8,1,1286,1990-03-01
1990/4,14.1,8,1,1287,1990-04-01
1990/5,18.8,8,1,1288,1990-05-01
1990/6,23.7,8,1,1289,1990-06-01
1990/7,27.1,8,1,1290,1990-07-01
1990/8,28.6,8,1,1291,1990-08-01
1990/9,24.4,8,1,1292,1990-09-01
1990/10,18.3,8,1,1293,1990-10-01
1990/11,13.7,8,1,1294,1990-11-01
1990/12,7.4,8,1,1295,1990-12-01
1991/1,4.3,8,1,1296,1991-01-01
1991/2,3.7,8,1,1297,1991-02-01
1991/3,9.6,8,1,1298,1991-03-01
1991/4,15.0,8,1,1299,1991-04-01
1991/5,18.4,8,1,1300,1991-05-01
1991/6,23.6,8,1,1301,1991-06-01
1991/7,26.5,8,1,1302,1991-07-01
1991/8,26.8,8,1,1303,1991-08-01
1991/9,24.8,8,1,1304,1991-09-01
1991/10,18.0,8,1,1305,1991-10-01
1991/11,12.0,8,1,1306,1991-11-01
1991/12,8.2,8,1,1307,1991-12-01
1992/1,5.8,8,1,1308,1992-01-01
1992/2,5.2,8,1,1309,1992-02-01
1992/3,10.1,8,1,1310,1992-03-01
1992/4,14.4,8,1,1311,1992-04-01
1992/5,17.2,8,1,1312,1992-05-01
1992/6,22.0,8,1,1313,1992-06-01
1992/7,26.6,8,1,1314,1992-07-01
1992/8,27.4,8,1,1315,1992-08-01
1992/9,23.7,8,1,1316,1992-09-01
1992/10,17.8,8,1,1317,1992-10-01
1992/11,11.9,8,1,1318,1992-11-01
1992/12,7.5,8,1,1319,1992-12-01
1993/1,5.8,8,1,1320,1993-01-01
1993/2,5.8,8,1,1321,1993-02-01
1993/3,7.9,8,1,1322,1993-03-01
1993/4,13.2,8,1,1323,1993-04-01
1993/5,18.2,8,1,1324,1993-05-01
1993/6,21.7,8,1,1325,1993-06-01
1993/7,23.8,8,1,1326,1993-07-01
1993/8,25.2,8,1,1327,1993-08-01
1993/9,22.1,8,1,1328,1993-09-01
1993/10,16.9,8,1,1329,1993-10-01
1993/11,13.1,8,1,1330,1993-11-01
1993/12,7.0,8,1,1331,1993-12-01
1994/1,4.7,8,1,1332,1994-01-01
1994/2,4.8,8,1,1333,1994-02-01
1994/3,7.4,8,1,1334,1994-03-01
1994/4,15.5,8,1,1335,1994-04-01
1994/5,19.7,8,1,1336,1994-05-01
1994/6,23.1,8,1,1337,1994-06-01
1994/7,29.4,8,1,1338,1994-07-01
1994/8,29.6,8,1,1339,1994-08-01
1994/9,25.0,8,1,1340,1994-09-01
1994/10,20.0,8,1,1341,1994-10-01
1994/11,13.3,8,1,1342,1994-11-01
1994/12,7.7,8,1,1343,1994-12-01
1995/1,3.9,8,1,1344,1995-01-01
1995/2,5.3,8,1,1345,1995-02-01
1995/3,8.8,8,1,1346,1995-03-01
1995/4,13.5,8,1,1347,1995-04-01
1995/5,18.4,8,1,1348,1995-05-01
1995/6,21.5,8,1,1349,1995-06-01
1995/7,26.7,8,1,1350,1995-07-01
1995/8,30.3,8,1,1351,1995-08-01
1995/9,22.9,8,1,1352,1995-09-01
1995/10,18.7,8,1,1353,1995-10-01
1995/11,10.1,8,1,1354,1995-11-01
1995/12,5.3,8,1,1355,1995-12-01
1996/1,4.3,8,1,1356,1996-01-01
1996/2,3.9,8,1,1357,1996-02-01
1996/3,7.7,8,1,1358,1996-03-01
1996/4,12.2,8,1,1359,1996-04-01
1996/5,18.5,8,1,1360,1996-05-01
1996/6,22.7,8,1,1361,1996-06-01
1996/7,27.4,8,1,1362,1996-07-01
1996/8,27.4,8,1,1363,1996-08-01
1996/9,22.5,8,1,1364,1996-09-01
1996/10,17.4,8,1,1365,1996-10-01
1996/11,11.9,8,1,1366,1996-11-01
1996/12,6.6,8,1,1367,1996-12-01
1997/1,4.2,8,1,1368,1997-01-01
1997/2,4.8,8,1,1369,1997-02-01
1997/3,9.6,8,1,1370,1997-03-01
